YEAR,arson,assault w/dangerous weapon,burglary,homicide,motor vehicle theft,robbery,sex abuse,theft f/auto,theft/other
2011.0,,72.0,138.0,5.0,155.0,104.0,7.0,158.0,142.0
2012.0,1.0,102.0,154.0,8.0,152.0,138.0,16.0,159.0,220.0
2013.0,,160.0,153.0,7.0,141.0,198.0,16.0,171.0,239.0
2014.0,,163.0,155.0,8.0,186.0,158.0,12.0,195.0,256.0
2015.0,1.0,147.0,102.0,10.0,146.0,135.0,10.0,210.0,230.0
2016.0,1.0,104.0,107.0,9.0,131.0,111.0,8.0,209.0,224.0
2017.0,,80.0,57.0,4.0,154.0,103.0,5.0,247.0,231.0
2018.0,,39.0,35.0,3.0,60.0,25.0,4.0,122.0,109.0
